Date,Actual Price,Predicted Price
01/09/2021,48847.03,47484.20
02/09/2021,49327.72,47951.48
03/09/2021,50025.37,48629.66
04/09/2021,49944.63,48551.17
05/09/2021,51753.41,50309.49
06/09/2021,52633.54,51165.06
07/09/2021,46811.13,45505.10
08/09/2021,46091.39,44805.44
09/09/2021,46391.42,45097.10
10/09/2021,44883.91,43631.65
11/09/2021,45201.46,43940.34
12/09/2021,46063.27,44778.10
13/09/2021,44963.07,43708.60
14/09/2021,47092.49,45778.61
15/09/2021,48176.35,46832.23
16/09/2021,47783.36,46450.20
17/09/2021,47267.52,45948.76
18/09/2021,48278.36,46931.39
19/09/2021,47260.22,45941.66
20/09/2021,42843.80,41648.46
21/09/2021,40693.68,39558.33
22/09/2021,43574.51,42358.78
23/09/2021,44895.10,43642.53
24/09/2021,42839.75,41644.52
25/09/2021,42716.59,41524.80
26/09/2021,43208.54,42003.02
27/09/2021,42235.73,41057.35
28/09/2021,41034.54,39889.68
29/09/2021,41564.36,40404.71
30/09/2021,43790.90,42569.13
